"","id","release_year_movie","age_rating_movie","rotten_tomatoes_movie","netflix_movie","hulu_movie","prime_video_movie","disney_movie"
"1",1,2019,"18+",98,1,0,0,0
"2",2,2016,"7+",97,1,0,0,0
"3",3,2020,"7+",95,1,0,0,0
"4",4,2001,"7+",94,1,0,0,0
"5",5,2018,"18+",94,1,0,0,0
"6",6,2018,"13+",94,1,0,0,0
"7",7,2020,"13+",93,1,0,0,0
"8",8,2017,"13+",92,1,0,0,0
"9",9,2018,"16+",92,1,0,0,0
"10",10,2020,"18+",92,1,0,0,0
"11",11,2019,"18+",92,1,0,0,0
"12",12,2017,"18+",92,1,0,0,0
"13",13,2019,"18+",92,1,0,0,0
"14",14,2017,"18+",91,1,0,0,0
"15",15,2004,"all",91,1,0,0,0
"16",16,2019,"18+",91,1,0,0,0
"17",17,2020,"18+",90,1,0,0,0
"18",18,2014,"16+",90,1,0,0,0
"19",19,2004,"18+",90,1,0,0,0
"20",20,2015,"7+",90,1,0,0,0
"21",21,2019,"18+",90,1,0,0,0
"22",22,2018,"18+",89,1,0,0,0
"23",23,2019,"13+",89,1,0,0,0
"24",24,2019,"18+",89,1,0,0,0
"25",25,2006,"18+",89,1,0,0,0
"26",26,2015,"16+",89,1,0,0,0
"27",27,1991,"18+",89,1,0,0,0
"28",28,2019,"18+",89,1,0,0,0
"29",29,2012,"18+",89,1,0,0,0
"30",30,2020,"13+",89,1,0,0,0
"31",31,2019,"7+",89,1,0,0,0
"32",32,2020,"18+",89,1,0,0,0
"33",33,2016,"18+",89,1,0,0,0
"34",34,2020,"18+",88,1,0,0,0
"35",35,2017,"18+",88,1,0,0,0
"36",36,2017,"unknown",88,1,0,0,0
"37",37,2010,"18+",88,1,0,0,0
"38",38,2019,"13+",88,1,0,0,0
"39",39,2011,"7+",88,1,0,0,0
"40",40,2019,"18+",87,1,0,0,0
"41",41,2013,"unknown",87,1,0,0,0
"42",42,2020,"18+",87,1,0,0,0
"43",43,2020,"18+",87,1,0,0,0
"44",44,2020,"18+",87,1,0,0,0
"45",45,2005,"all",87,1,0,0,0
"46",46,2001,"all",87,1,0,0,0
"47",47,2020,"16+",87,1,0,0,0
"48",48,2019,"18+",87,1,0,0,0
"49",49,2018,"16+",87,1,0,0,0
"50",50,2020,"18+",87,1,0,0,0
"51",51,2018,"18+",87,1,0,0,0
"52",52,1998,"18+",87,1,0,0,0
"53",53,2018,"13+",87,1,0,0,0
"54",54,2019,"13+",86,1,0,0,0
"55",55,2018,"18+",86,1,0,0,0
"56",56,2002,"18+",86,1,0,0,0
"57",57,2009,"13+",86,1,0,0,0
"58",58,2016,"unknown",86,1,0,0,0
"59",59,2019,"all",86,1,0,0,0
"60",60,1971,"18+",86,1,0,0,0
"61",61,2017,"18+",86,1,0,0,0
"62",62,2015,"18+",86,1,0,0,0
"63",63,2016,"16+",86,1,0,0,0
"64",64,2019,"7+",86,1,0,0,0
"65",65,2018,"13+",85,1,0,0,0
"66",66,2017,"unknown",85,1,0,0,0
"67",67,2003,"all",85,1,0,0,0
"68",68,2006,"18+",85,1,0,0,0
"69",69,2016,"16+",85,1,0,0,0
"70",70,2017,"18+",85,1,0,0,0
"71",71,2006,"13+",85,1,0,0,0
"72",72,2015,"18+",85,1,0,0,0
"73",73,2013,"18+",84,1,0,0,0
"74",74,2009,"18+",84,1,0,0,0
"75",75,2020,"13+",84,1,0,0,0
"76",76,2016,"13+",84,1,0,0,0
"77",77,2018,"18+",84,1,0,0,0
"78",78,2019,"18+",84,1,0,0,0
"79",79,2007,"18+",84,1,0,0,0
"80",80,2004,"13+",84,1,0,0,0
"81",81,2010,"13+",84,1,1,0,0
"82",82,2018,"7+",84,1,0,0,0
"83",83,1975,"7+",84,1,0,0,0
"84",84,2007,"all",84,1,0,0,0
"85",85,2020,"18+",84,1,0,0,0
"86",86,2018,"18+",84,1,0,0,0
"87",87,2012,"18+",84,1,0,0,0
"88",88,2020,"7+",84,1,0,0,0
"89",89,2015,"unknown",84,1,0,0,0
"90",90,2014,"18+",84,1,0,0,0
"91",91,2017,"18+",84,1,0,0,0
"92",92,2019,"18+",84,1,0,0,0
"93",93,2017,"unknown",84,1,0,0,0
"94",94,1988,"18+",83,1,0,0,0
"95",95,2017,"unknown",83,1,0,0,0
"96",96,2017,"18+",83,1,0,0,0
"97",97,2020,"18+",83,1,0,0,0
"98",98,2019,"16+",83,1,0,0,0
"99",99,2018,"18+",83,1,0,0,0
"100",100,2018,"18+",83,1,0,0,0
"101",101,2007,"13+",83,1,0,0,0
"102",102,2018,"18+",83,1,0,0,0
"103",103,2018,"13+",83,1,0,0,0
"104",104,2013,"18+",83,1,0,0,0
"105",105,2019,"18+",83,1,0,0,0
"106",106,2020,"all",83,1,0,0,0
"107",107,2013,"13+",83,1,0,0,0
"108",108,2017,"7+",83,1,1,0,0
"109",109,2008,"7+",83,1,0,0,0
"110",110,2007,"18+",83,1,0,0,0
"111",111,2016,"18+",83,1,0,0,0
"112",112,1974,"18+",82,1,0,0,0
"113",113,2003,"18+",82,1,0,0,0
"114",114,2014,"13+",82,1,0,0,0
"115",115,2018,"unknown",82,1,0,0,0
"116",116,2020,"13+",82,1,0,0,0
"117",117,2004,"13+",82,1,0,1,0
"118",118,2010,"13+",82,1,0,0,0
"119",119,2011,"7+",82,1,0,0,0
"120",120,1979,"18+",82,1,0,0,0
"121",121,2018,"18+",82,1,0,0,0
"122",122,2014,"7+",82,1,0,0,0
"123",123,2019,"unknown",82,1,0,0,0
"124",124,2010,"unknown",82,1,0,0,0
"125",125,2003,"18+",82,1,0,0,0
"126",126,2018,"18+",82,1,0,0,0
"127",127,2018,"18+",82,1,0,0,0
"128",128,2018,"unknown",82,1,0,0,0
"129",129,2016,"18+",82,1,0,0,0
"130",130,2017,"18+",81,1,0,0,0
"131",131,2016,"unknown",81,1,0,0,0
"132",132,2016,"unknown",81,1,0,0,0
"133",133,2018,"18+",81,1,0,0,0
"134",134,2020,"7+",81,1,0,0,0
"135",135,2017,"18+",81,1,0,0,0
"136",136,2002,"18+",81,1,0,0,0
"137",137,1997,"18+",81,1,0,0,0
"138",138,1990,"16+",81,1,0,0,0
"139",139,2021,"18+",81,1,0,0,0
"140",140,2013,"18+",81,1,0,0,0
"141",141,2019,"unknown",81,1,0,0,0
"142",142,2016,"unknown",81,1,0,0,0
"143",143,2016,"18+",81,1,0,0,0
"144",144,2018,"18+",81,1,0,0,0
"145",145,2016,"18+",81,1,0,0,0
"146",146,2017,"16+",81,1,0,0,0
"147",147,2009,"all",81,1,0,0,0
"148",148,1990,"13+",80,1,0,0,0
"149",149,2016,"18+",80,1,0,0,0
"150",150,2017,"unknown",80,1,0,0,0
"151",151,2016,"unknown",80,1,0,0,0
"152",152,2017,"7+",80,1,0,0,0
"153",153,2017,"7+",80,1,0,0,0
"154",154,2018,"18+",80,1,0,0,0
"155",155,2018,"18+",80,1,0,0,0
"156",156,2008,"13+",80,1,0,1,0
"157",157,2019,"18+",80,1,0,0,0
"158",158,2018,"18+",80,1,0,0,0
"159",159,2012,"13+",80,1,0,1,0
"160",160,2019,"unknown",80,1,0,0,0
"161",161,2018,"7+",80,1,0,0,0
"162",162,2018,"13+",80,1,0,0,0
"163",163,2017,"unknown",80,1,0,0,0
"164",164,2018,"unknown",80,1,0,0,0
"165",165,2019,"7+",80,1,0,0,0
"166",166,2018,"7+",80,1,0,0,0
"167",167,2020,"7+",80,1,0,0,0
"168",168,2016,"13+",80,1,1,0,0
"169",169,2007,"13+",79,1,0,0,0
"170",170,2017,"18+",79,1,0,0,0
"171",171,2011,"13+",79,1,1,0,0
"172",172,2018,"18+",79,1,0,0,0
"173",173,2017,"18+",79,1,0,0,0
"174",174,2011,"7+",79,1,0,0,0
"175",175,2012,"13+",79,1,0,0,0
"176",176,2016,"18+",79,1,0,0,0
"177",177,2008,"18+",79,1,0,0,0
"178",178,2020,"unknown",79,1,0,0,0
"179",179,2011,"7+",79,1,0,0,0
"180",180,2019,"18+",79,1,0,0,0
"181",181,2018,"unknown",79,1,0,0,0
"182",182,2019,"13+",79,1,0,0,0
"183",183,2019,"unknown",79,1,0,0,0
"184",184,2019,"18+",79,1,0,0,0
"185",185,2003,"18+",79,1,1,1,0
"186",186,2002,"13+",79,1,0,1,0
"187",187,2018,"unknown",79,1,0,0,0
"188",188,1984,"7+",79,1,0,0,0
"189",189,2018,"18+",79,1,0,0,0
"190",190,2000,"18+",79,1,0,0,0
"191",191,2019,"18+",79,1,0,0,0
"192",192,2019,"unknown",79,1,0,0,0
"193",193,2017,"16+",79,1,0,0,0
"194",194,2019,"unknown",78,1,0,0,0
"195",195,2016,"13+",78,1,0,0,0
"196",196,2019,"7+",78,1,0,0,0
"197",197,2016,"18+",78,1,0,0,0
"198",198,2017,"18+",78,1,0,0,0
"199",199,1993,"13+",78,1,0,0,0
"200",200,2006,"13+",78,1,1,0,0
"201",201,2006,"13+",78,1,0,0,0
"202",202,2011,"unknown",78,1,0,0,0
"203",203,2013,"unknown",78,1,0,0,0
"204",204,2011,"13+",78,1,0,0,0
"205",205,2017,"13+",78,1,0,0,0
"206",206,1994,"13+",78,1,0,0,0
"207",207,2018,"unknown",78,1,0,0,0
"208",208,2014,"18+",78,1,0,0,0
"209",209,2013,"unknown",78,1,0,0,0
"210",210,1997,"13+",78,1,0,0,0
"211",211,2019,"unknown",78,1,0,0,0
"212",212,2010,"13+",78,1,0,0,0
"213",213,2019,"unknown",78,1,0,0,0
"214",214,2020,"18+",78,1,0,0,0
"215",215,2011,"7+",78,1,0,0,0
"216",216,2016,"13+",78,1,0,0,0
"217",217,2017,"18+",78,1,0,0,0
"218",218,2013,"18+",77,1,0,0,0
"219",219,2017,"18+",77,1,0,0,0
"220",220,2018,"16+",77,1,0,0,0
"221",221,2012,"18+",77,1,0,0,0
"222",222,2018,"18+",77,1,0,0,0
"223",223,2016,"unknown",77,1,0,0,0
"224",224,2008,"13+",77,1,0,0,0
"225",225,2012,"18+",77,1,0,0,0
"226",226,2004,"18+",77,1,0,0,0
"227",227,2010,"7+",77,1,0,0,0
"228",228,2018,"16+",77,1,0,0,0
"229",229,2011,"18+",77,1,1,0,0
"230",230,2015,"unknown",77,1,0,0,0
"231",231,2019,"unknown",77,1,0,0,0
"232",232,2020,"13+",77,1,0,0,0
"233",233,2015,"13+",77,1,0,0,0
"234",234,2017,"18+",77,1,0,0,0
"235",235,2010,"13+",77,1,0,0,0
"236",236,2019,"16+",77,1,0,0,0
"237",237,2007,"7+",77,1,0,0,0
"238",238,2019,"unknown",77,1,0,0,0
"239",239,2012,"unknown",77,1,0,0,0
"240",240,2019,"unknown",77,1,0,0,0
"241",241,2001,"13+",77,1,0,0,0
"242",242,2019,"18+",77,1,0,0,0
"243",243,1997,"18+",77,1,0,0,0
"244",244,2005,"13+",76,1,0,0,0
"245",245,1979,"18+",76,1,0,0,0
"246",246,2018,"7+",76,1,0,0,0
"247",247,2018,"16+",76,1,0,0,0
"248",248,2017,"18+",76,1,0,0,0
"249",249,2009,"13+",76,1,1,0,0
"250",250,2016,"unknown",76,1,0,0,0
"251",251,2017,"18+",76,1,0,0,0
"252",252,2008,"13+",76,1,0,0,0
"253",253,2019,"13+",76,1,0,0,0
"254",254,2016,"unknown",76,1,0,0,0
"255",255,2018,"18+",76,1,0,0,0
"256",256,1988,"18+",76,1,0,0,0
"257",257,2018,"13+",76,1,0,0,0
"258",258,2016,"18+",76,1,0,0,0
"259",259,2017,"18+",76,1,0,0,0
"260",260,1999,"13+",76,1,0,0,0
"261",261,2003,"18+",76,1,0,0,0
"262",262,2016,"unknown",76,1,0,0,0
"263",263,2004,"18+",76,1,0,0,0
"264",264,2019,"13+",76,1,0,0,0
"265",265,2019,"13+",76,1,0,0,0
"266",266,2007,"unknown",76,1,0,0,0
"267",267,2019,"18+",76,1,0,0,0
"268",268,2017,"unknown",76,1,0,0,0
"269",269,2017,"unknown",76,1,0,0,0
"270",270,2015,"18+",76,1,0,0,0
"271",271,2018,"7+",76,1,0,0,1
"272",272,2016,"13+",76,1,0,0,0
"273",273,2013,"18+",76,1,0,0,0
"274",274,2006,"13+",76,1,0,0,0
"275",275,2009,"13+",76,1,0,0,0
"276",276,2009,"13+",76,1,0,0,0
"277",277,1976,"7+",76,1,0,0,0
"278",278,2008,"18+",76,1,0,0,0
"279",279,2016,"18+",76,1,0,0,0
"280",280,2011,"13+",75,1,0,0,0
"281",281,2019,"18+",75,1,0,0,0
"282",282,2020,"13+",75,1,0,0,0
"283",283,2019,"unknown",75,1,0,0,0
"284",284,2016,"unknown",75,1,0,0,0
"285",285,1964,"all",75,1,0,0,0
"286",286,2019,"18+",75,1,0,0,0
"287",287,2018,"18+",75,1,0,0,0
"288",288,2021,"13+",75,1,0,0,0
"289",289,2001,"13+",75,1,0,0,0
"290",290,2015,"18+",75,1,0,0,0
"291",291,2016,"unknown",75,1,0,0,0
"292",292,2018,"16+",75,1,0,0,0
"293",293,2016,"unknown",75,1,0,0,0
"294",294,2014,"unknown",75,1,0,0,0
"295",295,2018,"18+",75,1,0,0,0
"296",296,2013,"13+",75,1,0,0,0
"297",297,2017,"16+",75,1,0,0,0
"298",298,1997,"18+",75,1,0,0,0
"299",299,2017,"18+",75,1,0,0,0
"300",300,1998,"13+",75,1,0,0,0
"301",301,2019,"18+",75,1,0,0,0
"302",302,2015,"18+",75,1,0,0,0
"303",303,2004,"7+",75,1,0,0,0
"304",304,2019,"18+",75,1,0,0,0
"305",305,2018,"18+",75,1,0,0,0
"306",306,2021,"18+",75,1,0,0,0
"307",307,2012,"7+",75,1,0,0,0
"308",308,2017,"18+",75,1,0,0,0
"309",309,2016,"13+",75,1,0,0,0
"310",310,2015,"18+",75,1,0,0,0
"311",311,2010,"18+",75,1,0,1,0
"312",312,2012,"18+",75,1,0,0,0
"313",313,2017,"unknown",75,1,0,0,0
"314",314,2021,"18+",75,1,0,0,0
"315",315,2008,"18+",75,1,0,0,0
"316",316,2018,"16+",75,1,0,0,0
"317",317,2017,"18+",75,1,0,0,0
"318",318,2009,"13+",75,1,1,0,0
"319",319,2012,"18+",74,1,1,0,0
"320",320,2013,"13+",74,1,0,0,0
"321",321,2018,"18+",74,1,0,0,0
"322",322,2018,"18+",74,1,0,0,0
"323",323,2021,"18+",74,1,0,0,0
"324",324,2013,"13+",74,1,0,0,0
"325",325,2017,"unknown",74,1,0,0,0
"326",326,2009,"18+",74,1,0,0,0
"327",327,2015,"7+",74,1,0,1,0
"328",328,2008,"18+",74,1,1,1,0
"329",329,2018,"16+",74,1,0,0,0
"330",330,2008,"13+",74,1,0,0,0
"331",331,2010,"13+",74,1,0,0,0
"332",332,2009,"18+",74,1,0,0,0
"333",333,2009,"13+",74,1,0,0,0
"334",334,2008,"7+",74,1,0,0,0
"335",335,2011,"18+",74,1,0,1,0
"336",336,2017,"unknown",74,1,0,0,0
"337",337,2017,"18+",74,1,0,0,0
"338",338,2012,"18+",74,1,0,0,0
