"","id","release_year_tv","age_rating_tv","rotten_tomatoes_tv","netflix_tv","hulu_tv","prime_video_tv","disney_tv"
"1",1,2008,"18+",100,1,0,0,0
"2",2,2016,"16+",96,1,0,0,0
"3",3,2013,"18+",95,1,1,0,0
"4",4,2015,"18+",94,1,0,0,0
"5",5,2017,"16+",93,1,0,0,0
"6",6,2005,"7+",93,1,0,1,0
"7",7,2013,"18+",93,1,0,0,0
"8",8,2010,"18+",93,1,0,0,0
"9",9,2011,"18+",92,1,0,0,0
"10",10,2020,"18+",92,1,0,0,0
"11",11,2017,"18+",90,1,0,0,0
"12",12,2009,"7+",90,1,1,1,0
"13",13,2015,"18+",90,1,0,0,0
"14",14,2011,"18+",90,1,1,1,0
"15",15,2017,"18+",90,1,0,0,0
"16",16,2015,"18+",90,1,0,0,0
"17",17,2016,"16+",90,1,0,0,0
"18",18,2005,"16+",89,1,0,0,0
"19",19,2019,"18+",89,1,0,0,0
"20",20,2017,"18+",89,1,0,0,0
"21",21,2016,"18+",89,1,0,0,0
"22",22,2018,"16+",89,1,0,0,0
"23",23,2013,"16+",88,1,0,0,0
"24",24,2014,"16+",88,1,0,0,0
"25",25,2014,"18+",88,1,0,0,0
"26",26,2009,"16+",88,1,1,0,0
"27",27,2016,"16+",88,1,0,0,0
"28",28,2013,"18+",88,1,0,0,0
"29",29,2017,"16+",88,1,0,0,0
"30",30,2005,"16+",87,1,1,0,0
"31",31,2003,"16+",87,1,1,0,0
"32",32,2021,"18+",87,1,0,0,0
"33",33,2019,"16+",87,1,0,0,0
"34",34,2013,"18+",87,1,0,0,0
"35",35,2009,"16+",86,1,0,0,0
"36",36,2019,"18+",86,1,1,0,0
"37",37,2020,"16+",86,1,0,0,0
"38",38,2011,"18+",86,1,1,1,0
"39",39,2018,"18+",86,1,0,0,0
"40",40,2014,"18+",86,1,0,0,0
"41",41,1987,"7+",86,1,1,1,0
"42",42,2013,"18+",86,1,0,0,0
"43",43,2006,"16+",86,1,0,0,0
"44",44,2019,"18+",86,1,0,0,0
"45",45,2019,"18+",86,1,0,0,0
"46",46,2015,"16+",86,1,0,0,0
"47",47,2013,"16+",86,1,0,0,0
"48",48,2020,"16+",86,1,0,0,0
"49",49,2014,"16+",86,1,0,0,0
"50",50,2016,"18+",85,1,0,0,0
"51",51,2015,"18+",85,1,0,0,0
"52",52,2017,"18+",85,1,0,0,0
"53",53,2011,"16+",85,1,0,0,0
"54",54,2014,"18+",85,1,0,1,0
"55",55,1999,"7+",85,1,1,0,0
"56",56,2017,"18+",85,1,0,0,0
"57",57,2019,"18+",85,1,0,0,0
"58",58,2018,"18+",85,1,0,0,0
"59",59,2015,"18+",84,1,0,0,0
"60",60,2015,"16+",84,1,0,0,0
"61",61,2019,"18+",84,1,0,0,0
"62",62,2012,"16+",84,1,0,0,0
"63",63,2019,"18+",84,1,0,0,0
"64",64,2015,"18+",84,1,0,0,0
"65",65,2021,"16+",84,1,0,0,0
"66",66,2018,"16+",84,1,1,0,0
"67",67,2006,"16+",84,1,1,0,0
"68",68,2000,"16+",84,1,0,0,0
"69",69,2012,"7+",83,1,0,0,0
"70",70,2014,"16+",83,1,1,0,0
"71",71,2015,"18+",83,1,0,0,0
"72",72,2003,"18+",83,1,0,0,0
"73",73,2015,"7+",83,1,1,0,0
"74",74,2010,"16+",83,1,0,1,0
"75",75,2014,"16+",83,1,0,0,0
"76",76,2018,"18+",83,1,0,0,0
"77",77,2018,"18+",83,1,0,0,0
"78",78,2018,"18+",83,1,0,0,0
"79",79,2015,"18+",83,1,0,0,0
"80",80,2017,"16+",83,1,0,0,0
"81",81,2019,"all",82,1,0,0,0
"82",82,2018,"18+",82,1,0,0,0
"83",83,2021,"16+",82,1,0,0,0
"84",84,2017,"18+",82,1,0,0,0
"85",85,1966,"7+",82,1,1,1,0
"86",86,2018,"18+",82,1,0,0,0
"87",87,2011,"16+",82,1,1,0,0
"88",88,2019,"18+",82,1,0,0,0
"89",89,2018,"18+",82,1,0,0,0
"90",90,2019,"18+",82,1,0,0,0
"91",91,2019,"18+",82,1,1,0,0
"92",92,1995,"16+",82,1,0,0,0
"93",93,2002,"7+",81,1,1,0,0
"94",94,2003,"16+",81,1,0,0,0
"95",95,2018,"16+",81,1,1,0,0
"96",96,2014,"16+",81,1,0,0,0
"97",97,1969,"16+",81,1,0,0,0
"98",98,2019,"18+",81,1,0,0,0
"99",99,2017,"16+",81,1,1,0,0
"100",100,2017,"18+",81,1,0,0,0
"101",101,2019,"18+",81,1,0,0,0
"102",102,2018,"16+",81,1,0,0,0
"103",103,2019,"18+",81,1,1,0,0
"104",104,2018,"7+",80,1,1,0,0
"105",105,1993,"7+",80,1,1,1,0
"106",106,2014,"16+",80,1,0,0,0
"107",107,2017,"18+",80,1,0,0,0
"108",108,2016,"18+",80,1,0,0,0
"109",109,2016,"16+",80,1,0,0,0
"110",110,2018,"18+",80,1,0,0,0
"111",111,2015,"16+",80,1,0,0,0
"112",112,2012,"16+",80,1,0,0,0
"113",113,2011,"16+",80,1,1,0,0
"114",114,2015,"16+",80,1,0,0,0
"115",115,2013,"16+",80,1,0,0,0
"116",116,2017,"all",80,1,0,0,0
"117",117,2015,"18+",80,1,0,0,0
"118",118,2018,"16+",80,1,0,0,0
"119",119,2016,"16+",79,1,0,0,0
"120",120,2017,"7+",79,1,0,0,0
"121",121,2020,"unknown",79,1,0,0,0
"122",122,2020,"18+",79,1,0,0,0
"123",123,1997,"13+",79,1,1,0,0
"124",124,2020,"18+",79,1,0,0,0
"125",125,2017,"18+",79,1,0,0,0
"126",126,2015,"16+",79,1,0,0,0
"127",127,2016,"18+",79,1,0,0,0
"128",128,2017,"18+",79,1,0,0,0
"129",129,2010,"18+",79,1,0,0,0
"130",130,2004,"7+",79,1,0,0,0
"131",131,2017,"18+",79,1,0,0,0
"132",132,2018,"16+",79,1,0,0,0
"133",133,2017,"18+",79,1,0,0,0
"134",134,2013,"16+",78,1,0,0,0
"135",135,2018,"18+",78,1,0,0,0
"136",136,2015,"18+",78,1,0,1,0
"137",137,1995,"7+",78,1,1,1,0
"138",138,2020,"18+",78,1,0,0,0
"139",139,2012,"16+",78,1,0,0,0
"140",140,2018,"16+",78,1,0,0,0
"141",141,2017,"16+",78,1,0,0,0
"142",142,2016,"16+",78,1,0,0,0
"143",143,2017,"18+",78,1,0,0,0
"144",144,2017,"18+",77,1,0,0,0
"145",145,2014,"16+",77,1,1,0,0
"146",146,2016,"16+",77,1,0,0,0
"147",147,2007,"7+",77,1,0,1,0
"148",148,2015,"16+",77,1,1,0,0
"149",149,2014,"18+",77,1,0,1,0
"150",150,2018,"16+",77,1,0,0,0
"151",151,2018,"7+",77,1,0,0,0
"152",152,2020,"16+",77,1,0,0,0
"153",153,2016,"18+",77,1,0,0,0
"154",154,2017,"7+",77,1,0,0,0
"155",155,2020,"18+",77,1,0,0,0
"156",156,2015,"16+",77,1,0,0,0
"157",157,2019,"7+",77,1,0,0,0
"158",158,2011,"18+",77,1,0,0,0
"159",159,2020,"18+",77,1,0,0,0
"160",160,2015,"16+",77,1,0,0,0
"161",161,2016,"16+",77,1,0,0,0
"162",162,2016,"7+",77,1,0,0,0
"163",163,2016,"16+",77,1,0,0,0
"164",164,2016,"18+",77,1,0,0,0
"165",165,2012,"18+",77,1,0,0,0
"166",166,2011,"18+",77,1,0,0,0
"167",167,2015,"16+",76,1,0,0,0
"168",168,2015,"18+",76,1,0,0,0
"169",169,2019,"18+",76,1,0,0,0
"170",170,2011,"18+",76,1,0,0,0
"171",171,2009,"16+",76,1,0,1,0
"172",172,2020,"18+",76,1,0,0,0
"173",173,2019,"16+",76,1,0,0,0
"174",174,2012,"18+",76,1,0,0,0
"175",175,2018,"18+",76,1,0,0,0
"176",176,2014,"16+",76,1,0,0,0
"177",177,2001,"7+",76,1,1,1,0
"178",178,2018,"all",75,1,0,0,0
"179",179,2008,"7+",75,1,1,1,0
"180",180,2015,"16+",75,1,0,0,0
"181",181,2021,"16+",75,1,0,0,0
"182",182,2019,"18+",75,1,0,0,0
"183",183,2018,"16+",75,1,0,0,0
"184",184,2019,"18+",75,1,0,0,0
"185",185,2015,"all",75,1,0,0,0
"186",186,2020,"18+",75,1,0,0,0
"187",187,2014,"16+",75,1,0,0,0
"188",188,2017,"16+",75,1,0,0,0
"189",189,2015,"18+",74,1,0,0,0
"190",190,2020,"18+",74,1,0,0,0
"191",191,2020,"18+",74,1,0,1,0
"192",192,2018,"16+",74,1,0,0,0
"193",193,2019,"18+",74,1,0,0,0
"194",194,2018,"16+",74,1,0,0,0
"195",195,2008,"18+",74,1,0,0,0
"196",196,2018,"16+",74,1,0,0,0
"197",197,2005,"16+",74,1,0,0,0
"198",198,2008,"16+",74,1,1,0,0
"199",199,2020,"18+",74,1,0,0,0
"200",200,2020,"unknown",74,1,0,0,0
"201",201,2020,"7+",74,1,0,0,0
"202",202,2011,"7+",74,1,0,0,0
"203",203,2019,"18+",74,1,0,0,0
"204",204,2021,"unknown",74,1,0,0,0
"205",205,2018,"7+",74,1,0,0,0
"206",206,2018,"18+",74,1,0,0,0
"207",207,2016,"16+",74,1,1,0,0
"208",208,2019,"16+",74,1,0,0,0
