"","id","release_year_movie","age_rating_movie","rotten_tomatoes_movie","tomato_category_movie","netflix_movie","hulu_movie","prime_video_movie","disney_movie","all_platforms_movie"
"1",1,2019,"18+",98,"certified_fresh","netflix_film","","","","netflix_film"
"2",2,2016,"7+",97,"certified_fresh","netflix_film","","","","netflix_film"
"3",3,2020,"7+",95,"certified_fresh","netflix_film","","","","netflix_film"
"4",4,2001,"7+",94,"certified_fresh","netflix_film","","","","netflix_film"
"5",5,2018,"18+",94,"certified_fresh","netflix_film","","","","netflix_film"
"6",6,2018,"13+",94,"certified_fresh","netflix_film","","","","netflix_film"
"7",7,2020,"13+",93,"certified_fresh","netflix_film","","","","netflix_film"
"8",8,2017,"13+",92,"certified_fresh","netflix_film","","","","netflix_film"
"9",9,2018,"16+",92,"certified_fresh","netflix_film","","","","netflix_film"
"10",10,2020,"18+",92,"certified_fresh","netflix_film","","","","netflix_film"
"11",11,2019,"18+",92,"certified_fresh","netflix_film","","","","netflix_film"
"12",12,2017,"18+",92,"certified_fresh","netflix_film","","","","netflix_film"
"13",13,2019,"18+",92,"certified_fresh","netflix_film","","","","netflix_film"
"14",14,2017,"18+",91,"certified_fresh","netflix_film","","","","netflix_film"
"15",15,2004,"all",91,"certified_fresh","netflix_film","","","","netflix_film"
"16",16,2019,"18+",91,"certified_fresh","netflix_film","","","","netflix_film"
"17",17,2020,"18+",90,"certified_fresh","netflix_film","","","","netflix_film"
"18",18,2014,"16+",90,"certified_fresh","netflix_film","","","","netflix_film"
"19",19,2004,"18+",90,"certified_fresh","netflix_film","","","","netflix_film"
"20",20,2015,"7+",90,"certified_fresh","netflix_film","","","","netflix_film"
"21",21,2019,"18+",90,"certified_fresh","netflix_film","","","","netflix_film"
"22",22,2018,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"23",23,2019,"13+",89,"certified_fresh","netflix_film","","","","netflix_film"
"24",24,2019,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"25",25,2006,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"26",26,2015,"16+",89,"certified_fresh","netflix_film","","","","netflix_film"
"27",27,1991,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"28",28,2019,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"29",29,2012,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"30",30,2020,"13+",89,"certified_fresh","netflix_film","","","","netflix_film"
"31",31,2019,"7+",89,"certified_fresh","netflix_film","","","","netflix_film"
"32",32,2020,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"33",33,2016,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"34",34,2020,"18+",88,"certified_fresh","netflix_film","","","","netflix_film"
"35",35,2017,"18+",88,"certified_fresh","netflix_film","","","","netflix_film"
"36",36,2017,"unknown",88,"certified_fresh","netflix_film","","","","netflix_film"
"37",37,2010,"18+",88,"certified_fresh","netflix_film","","","","netflix_film"
"38",38,2019,"13+",88,"certified_fresh","netflix_film","","","","netflix_film"
"39",39,2011,"7+",88,"certified_fresh","netflix_film","","","","netflix_film"
"40",40,2019,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"41",41,2013,"unknown",87,"certified_fresh","netflix_film","","","","netflix_film"
"42",42,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"43",43,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"44",44,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"45",45,2005,"all",87,"certified_fresh","netflix_film","","","","netflix_film"
"46",46,2001,"all",87,"certified_fresh","netflix_film","","","","netflix_film"
"47",47,2020,"16+",87,"certified_fresh","netflix_film","","","","netflix_film"
"48",48,2019,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"49",49,2018,"16+",87,"certified_fresh","netflix_film","","","","netflix_film"
"50",50,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"51",51,2018,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"52",52,1998,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"53",53,2018,"13+",87,"certified_fresh","netflix_film","","","","netflix_film"
"54",54,2019,"13+",86,"certified_fresh","netflix_film","","","","netflix_film"
"55",55,2018,"18+",86,"certified_fresh","netflix_film","","","","netflix_film"
"56",56,2002,"18+",86,"certified_fresh","netflix_film","","","","netflix_film"
