"","id","release_year_movie","age_rating_movie","rotten_tomatoes_movie","tomato_category_movie","netflix_movie","hulu_movie","prime_video_movie","disney_movie","all_platforms_movie"
"1",3,2020,"7+",95,"certified_fresh","netflix_film","","","","netflix_film"
"2",7,2020,"13+",93,"certified_fresh","netflix_film","","","","netflix_film"
"3",10,2020,"18+",92,"certified_fresh","netflix_film","","","","netflix_film"
"4",17,2020,"18+",90,"certified_fresh","netflix_film","","","","netflix_film"
"5",30,2020,"13+",89,"certified_fresh","netflix_film","","","","netflix_film"
"6",32,2020,"18+",89,"certified_fresh","netflix_film","","","","netflix_film"
"7",34,2020,"18+",88,"certified_fresh","netflix_film","","","","netflix_film"
"8",42,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"9",43,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"10",44,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"11",47,2020,"16+",87,"certified_fresh","netflix_film","","","","netflix_film"
"12",50,2020,"18+",87,"certified_fresh","netflix_film","","","","netflix_film"
"13",75,2020,"13+",84,"certified_fresh","netflix_film","","","","netflix_film"
"14",85,2020,"18+",84,"certified_fresh","netflix_film","","","","netflix_film"
"15",88,2020,"7+",84,"certified_fresh","netflix_film","","","","netflix_film"
"16",97,2020,"18+",83,"certified_fresh","netflix_film","","","","netflix_film"
"17",106,2020,"all",83,"certified_fresh","netflix_film","","","","netflix_film"
"18",116,2020,"13+",82,"certified_fresh","netflix_film","","","","netflix_film"
"19",134,2020,"7+",81,"certified_fresh","netflix_film","","","","netflix_film"
"20",139,2021,"18+",81,"certified_fresh","netflix_film","","","","netflix_film"
"21",167,2020,"7+",80,"certified_fresh","netflix_film","","","","netflix_film"
"22",178,2020,"unknown",79,"certified_fresh","netflix_film","","","","netflix_film"
"23",214,2020,"18+",78,"certified_fresh","netflix_film","","","","netflix_film"
"24",232,2020,"13+",77,"certified_fresh","netflix_film","","","","netflix_film"
"25",282,2020,"13+",75,"certified_fresh","netflix_film","","","","netflix_film"
"26",288,2021,"13+",75,"certified_fresh","netflix_film","","","","netflix_film"
"27",306,2021,"18+",75,"certified_fresh","netflix_film","","","","netflix_film"
"28",314,2021,"18+",75,"certified_fresh","netflix_film","","","","netflix_film"
"29",323,2021,"18+",74,"fresh","netflix_film","","","","netflix_film"
"30",341,2020,"18+",74,"fresh","netflix_film","","","","netflix_film"
"31",344,2020,"18+",74,"fresh","netflix_film","","","","netflix_film"
"32",348,2020,"18+",74,"fresh","netflix_film","","","","netflix_film"
"33",358,2020,"18+",73,"fresh","netflix_film","","","","netflix_film"
"34",365,2021,"7+",73,"fresh","netflix_film","","","","netflix_film"
"35",368,2020,"unknown",73,"fresh","netflix_film","","","","netflix_film"
"36",371,2020,"all",73,"fresh","netflix_film","","","","netflix_film"
"37",377,2021,"7+",73,"fresh","netflix_film","","","","netflix_film"
"38",378,2020,"18+",73,"fresh","netflix_film","","","","netflix_film"
"39",385,2020,"unknown",73,"fresh","netflix_film","","","","netflix_film"
"40",386,2021,"18+",73,"fresh","netflix_film","","","","netflix_film"
"41",388,2021,"18+",73,"fresh","netflix_film","","","","netflix_film"
"42",443,2021,"13+",72,"fresh","netflix_film","","","","netflix_film"
"43",447,2020,"18+",72,"fresh","netflix_film","","","","netflix_film"
"44",449,2020,"18+",72,"fresh","netflix_film","","","","netflix_film"
"45",455,2020,"18+",71,"fresh","netflix_film","","","","netflix_film"
"46",486,2020,"7+",71,"fresh","netflix_film","","","","netflix_film"
"47",490,2020,"18+",71,"fresh","netflix_film","","","","netflix_film"
"48",494,2020,"13+",71,"fresh","netflix_film","","","","netflix_film"
"49",497,2020,"18+",71,"fresh","netflix_film","","","","netflix_film"
"50",501,2020,"18+",70,"fresh","netflix_film","","","","netflix_film"
"51",508,2021,"18+",70,"fresh","netflix_film","","","","netflix_film"
"52",515,2020,"18+",70,"fresh","netflix_film","","","","netflix_film"
"53",518,2020,"unknown",70,"fresh","netflix_film","","","","netflix_film"
"54",527,2020,"18+",70,"fresh","netflix_film","","","","netflix_film"
"55",533,2020,"unknown",70,"fresh","netflix_film","","","","netflix_film"
"56",561,2020,"18+",69,"fresh","netflix_film","","","","netflix_film"
"57",564,2021,"unknown",69,"fresh","netflix_film","","","","netflix_film"
"58",568,2021,"18+",69,"fresh","netflix_film","","","","netflix_film"
"59",570,2020,"18+",69,"fresh","netflix_film","","","","netflix_film"
"60",581,2021,"7+",69,"fresh","netflix_film","","","","netflix_film"
"61",586,2020,"18+",69,"fresh","netflix_film","","","","netflix_film"
"62",596,2020,"7+",69,"fresh","netflix_film","","","","netflix_film"
"63",601,2021,"13+",69,"fresh","netflix_film","","","","netflix_film"
"64",612,2020,"18+",68,"fresh","netflix_film","","","","netflix_film"
"65",614,2020,"13+",68,"fresh","netflix_film","","","","netflix_film"
"66",624,2020,"13+",68,"fresh","netflix_film","","","","netflix_film"
"67",630,2020,"18+",68,"fresh","netflix_film","","","","netflix_film"
"68",635,2020,"18+",68,"fresh","netflix_film","","","","netflix_film"
"69",638,2020,"16+",68,"fresh","netflix_film","","","","netflix_film"
"70",639,2020,"unknown",68,"fresh","netflix_film","","","","netflix_film"
"71",649,2021,"unknown",67,"fresh","netflix_film","","","","netflix_film"
"72",652,2020,"18+",67,"fresh","netflix_film","","","","netflix_film"
"73",656,2021,"unknown",67,"fresh","netflix_film","","","","netflix_film"
"74",658,2021,"18+",67,"fresh","netflix_film","","","","netflix_film"
"75",660,2021,"13+",67,"fresh","netflix_film","","","","netflix_film"
"76",661,2020,"18+",67,"fresh","netflix_film","","","","netflix_film"
"77",662,2021,"18+",67,"fresh","netflix_film","","","","netflix_film"
"78",666,2020,"13+",67,"fresh","netflix_film","","","","netflix_film"
"79",673,2021,"13+",67,"fresh","netflix_film","","","","netflix_film"
"80",674,2020,"unknown",67,"fresh","netflix_film","","","","netflix_film"
"81",684,2021,"18+",67,"fresh","netflix_film","","","","netflix_film"
"82",690,2021,"18+",67,"fresh","netflix_film","","","","netflix_film"
"83",692,2020,"unknown",67,"fresh","netflix_film","","","","netflix_film"
"84",693,2021,"7+",67,"fresh","netflix_film","","","","netflix_film"
"85",698,2020,"13+",67,"fresh","netflix_film","","","","netflix_film"
"86",704,2020,"18+",67,"fresh","netflix_film","","","","netflix_film"
"87",706,2021,"18+",67,"fresh","netflix_film","","","","netflix_film"
"88",723,2021,"18+",66,"fresh","netflix_film","","","","netflix_film"
"89",734,2021,"7+",66,"fresh","netflix_film","","","","netflix_film"
"90",735,2021,"18+",66,"fresh","netflix_film","","","","netflix_film"
"91",737,2020,"unknown",66,"fresh","netflix_film","","","","netflix_film"
"92",742,2021,"18+",66,"fresh","netflix_film","","","","netflix_film"
"93",746,2020,"18+",66,"fresh","netflix_film","","","","netflix_film"
"94",748,2020,"18+",66,"fresh","netflix_film","","","","netflix_film"
"95",749,2021,"18+",66,"fresh","netflix_film","","","","netflix_film"
"96",763,2020,"unknown",66,"fresh","netflix_film","","","","netflix_film"
"97",776,2021,"18+",65,"fresh","netflix_film","","","","netflix_film"
"98",789,2020,"13+",65,"fresh","netflix_film","","","","netflix_film"
