"","id","release_year_tv","age_rating_tv","rotten_tomatoes_tv","tomato_category_tv","netflix_tv","hulu_tv","prime_video_tv","disney_tv","all_platforms_tv"
"1",10,2020,"18+",92,"certified_fresh","netflix_show","","","","netflix_show"
"2",32,2021,"18+",87,"certified_fresh","netflix_show","","","","netflix_show"
"3",37,2020,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"4",48,2020,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"5",65,2021,"16+",84,"certified_fresh","netflix_show","","","","netflix_show"
"6",83,2021,"16+",82,"certified_fresh","netflix_show","","","","netflix_show"
"7",121,2020,"unknown",79,"certified_fresh","netflix_show","","","","netflix_show"
"8",122,2020,"18+",79,"certified_fresh","netflix_show","","","","netflix_show"
"9",124,2020,"18+",79,"certified_fresh","netflix_show","","","","netflix_show"
"10",138,2020,"18+",78,"certified_fresh","netflix_show","","","","netflix_show"
"11",152,2020,"16+",77,"certified_fresh","netflix_show","","","","netflix_show"
"12",155,2020,"18+",77,"certified_fresh","netflix_show","","","","netflix_show"
"13",159,2020,"18+",77,"certified_fresh","netflix_show","","","","netflix_show"
"14",172,2020,"18+",76,"certified_fresh","netflix_show","","","","netflix_show"
"15",181,2021,"16+",75,"certified_fresh","netflix_show","","","","netflix_show"
"16",186,2020,"18+",75,"certified_fresh","netflix_show","","","","netflix_show"
"17",190,2020,"18+",74,"fresh","netflix_show","","","","netflix_show"
"18",191,2020,"18+",74,"fresh","netflix_show","","prime_video_show","","multi_platform_show"
"19",199,2020,"18+",74,"fresh","netflix_show","","","","netflix_show"
"20",200,2020,"unknown",74,"fresh","netflix_show","","","","netflix_show"
"21",201,2020,"7+",74,"fresh","netflix_show","","","","netflix_show"
"22",204,2021,"unknown",74,"fresh","netflix_show","","","","netflix_show"
"23",220,2020,"18+",73,"fresh","netflix_show","","","","netflix_show"
"24",226,2021,"18+",73,"fresh","netflix_show","","","","netflix_show"
"25",232,2020,"18+",72,"fresh","netflix_show","","","","netflix_show"
"26",239,2020,"18+",72,"fresh","netflix_show","","","","netflix_show"
"27",241,2021,"18+",72,"fresh","netflix_show","","","","netflix_show"
"28",242,2020,"18+",72,"fresh","netflix_show","","","","netflix_show"
"29",263,2020,"18+",71,"fresh","netflix_show","","","","netflix_show"
"30",265,2020,"18+",71,"fresh","netflix_show","","","","netflix_show"
"31",266,2021,"16+",71,"fresh","netflix_show","","","","netflix_show"
"32",267,2021,"7+",71,"fresh","netflix_show","","","","netflix_show"
"33",269,2021,"18+",71,"fresh","netflix_show","","","","netflix_show"
"34",271,2020,"7+",71,"fresh","netflix_show","","","","netflix_show"
"35",280,2020,"7+",70,"fresh","netflix_show","","","","netflix_show"
"36",282,2020,"unknown",70,"fresh","netflix_show","","","","netflix_show"
"37",283,2021,"18+",70,"fresh","netflix_show","","","","netflix_show"
"38",284,2020,"18+",70,"fresh","netflix_show","","prime_video_show","","multi_platform_show"
"39",285,2020,"16+",70,"fresh","netflix_show","","","","netflix_show"
"40",287,2020,"16+",70,"fresh","netflix_show","","","","netflix_show"
"41",289,2020,"18+",70,"fresh","netflix_show","","","","netflix_show"
"42",290,2021,"18+",70,"fresh","netflix_show","","","","netflix_show"
"43",293,2021,"18+",70,"fresh","netflix_show","","","","netflix_show"
"44",294,2020,"16+",70,"fresh","netflix_show","","","","netflix_show"
"45",299,2020,"7+",70,"fresh","netflix_show","","","","netflix_show"
