"","id","release_year_tv","age_rating_tv","rotten_tomatoes_tv","tomato_category_tv","netflix_tv","hulu_tv","prime_video_tv","disney_tv","all_platforms_tv"
"1",1,2008,"18+",100,"rotten","netflix_show","","","","netflix_show"
"2",2,2016,"16+",96,"certified_fresh","netflix_show","","","","netflix_show"
"3",3,2013,"18+",95,"certified_fresh","netflix_show","hulu_show","","","multi_platform_show"
"4",4,2015,"18+",94,"certified_fresh","netflix_show","","","","netflix_show"
"5",5,2017,"16+",93,"certified_fresh","netflix_show","","","","netflix_show"
"6",6,2005,"7+",93,"certified_fresh","netflix_show","","prime_video_show","","multi_platform_show"
"7",7,2013,"18+",93,"certified_fresh","netflix_show","","","","netflix_show"
"8",8,2010,"18+",93,"certified_fresh","netflix_show","","","","netflix_show"
"9",9,2011,"18+",92,"certified_fresh","netflix_show","","","","netflix_show"
"10",10,2020,"18+",92,"certified_fresh","netflix_show","","","","netflix_show"
"11",11,2017,"18+",90,"certified_fresh","netflix_show","","","","netflix_show"
"12",12,2009,"7+",90,"certified_fresh","netflix_show","hulu_show","prime_video_show","","multi_platform_show"
"13",13,2015,"18+",90,"certified_fresh","netflix_show","","","","netflix_show"
"14",14,2011,"18+",90,"certified_fresh","netflix_show","hulu_show","prime_video_show","","multi_platform_show"
"15",15,2017,"18+",90,"certified_fresh","netflix_show","","","","netflix_show"
"16",16,2015,"18+",90,"certified_fresh","netflix_show","","","","netflix_show"
"17",17,2016,"16+",90,"certified_fresh","netflix_show","","","","netflix_show"
"18",18,2005,"16+",89,"certified_fresh","netflix_show","","","","netflix_show"
"19",19,2019,"18+",89,"certified_fresh","netflix_show","","","","netflix_show"
"20",20,2017,"18+",89,"certified_fresh","netflix_show","","","","netflix_show"
"21",21,2016,"18+",89,"certified_fresh","netflix_show","","","","netflix_show"
"22",22,2018,"16+",89,"certified_fresh","netflix_show","","","","netflix_show"
"23",23,2013,"16+",88,"certified_fresh","netflix_show","","","","netflix_show"
"24",24,2014,"16+",88,"certified_fresh","netflix_show","","","","netflix_show"
"25",25,2014,"18+",88,"certified_fresh","netflix_show","","","","netflix_show"
"26",26,2009,"16+",88,"certified_fresh","netflix_show","hulu_show","","","multi_platform_show"
"27",27,2016,"16+",88,"certified_fresh","netflix_show","","","","netflix_show"
"28",28,2013,"18+",88,"certified_fresh","netflix_show","","","","netflix_show"
"29",29,2017,"16+",88,"certified_fresh","netflix_show","","","","netflix_show"
"30",30,2005,"16+",87,"certified_fresh","netflix_show","hulu_show","","","multi_platform_show"
"31",31,2003,"16+",87,"certified_fresh","netflix_show","hulu_show","","","multi_platform_show"
"32",32,2021,"18+",87,"certified_fresh","netflix_show","","","","netflix_show"
"33",33,2019,"16+",87,"certified_fresh","netflix_show","","","","netflix_show"
"34",34,2013,"18+",87,"certified_fresh","netflix_show","","","","netflix_show"
"35",35,2009,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"36",36,2019,"18+",86,"certified_fresh","netflix_show","hulu_show","","","multi_platform_show"
"37",37,2020,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"38",38,2011,"18+",86,"certified_fresh","netflix_show","hulu_show","prime_video_show","","multi_platform_show"
"39",39,2018,"18+",86,"certified_fresh","netflix_show","","","","netflix_show"
"40",40,2014,"18+",86,"certified_fresh","netflix_show","","","","netflix_show"
"41",41,1987,"7+",86,"certified_fresh","netflix_show","hulu_show","prime_video_show","","multi_platform_show"
"42",42,2013,"18+",86,"certified_fresh","netflix_show","","","","netflix_show"
"43",43,2006,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"44",44,2019,"18+",86,"certified_fresh","netflix_show","","","","netflix_show"
"45",45,2019,"18+",86,"certified_fresh","netflix_show","","","","netflix_show"
"46",46,2015,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"47",47,2013,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"48",48,2020,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"49",49,2014,"16+",86,"certified_fresh","netflix_show","","","","netflix_show"
"50",50,2016,"18+",85,"certified_fresh","netflix_show","","","","netflix_show"
"51",51,2015,"18+",85,"certified_fresh","netflix_show","","","","netflix_show"
"52",52,2017,"18+",85,"certified_fresh","netflix_show","","","","netflix_show"
"53",53,2011,"16+",85,"certified_fresh","netflix_show","","","","netflix_show"
"54",54,2014,"18+",85,"certified_fresh","netflix_show","","prime_video_show","","multi_platform_show"
"55",55,1999,"7+",85,"certified_fresh","netflix_show","hulu_show","","","multi_platform_show"
"56",56,2017,"18+",85,"certified_fresh","netflix_show","","","","netflix_show"
